config_id,experiment_dir,source_label,result_file,eval_model,total_judge_rows,earliest_eval_timestamp,latest_eval_timestamp,all_rows_same_model
C01,2026-02-28_exp_0,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_0_all_skill_scores.json,google/gemini-2.5-flash,74,2026-03-01T11:20:07.290393+00:00,2026-03-01T11:20:12.721370+00:00,yes
C04,2026-02-28_exp_10,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_10_all_skill_scores.json,google/gemini-2.5-flash,52,2026-03-01T11:19:44.935354+00:00,2026-03-01T11:19:50.141638+00:00,yes
C04,2026-02-28_exp_11,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_11_all_skill_scores.json,google/gemini-2.5-flash,68,2026-03-01T11:21:45.932861+00:00,2026-03-01T11:21:52.232493+00:00,yes
C04,2026-02-28_exp_12,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_12_all_skill_scores.json,google/gemini-2.5-flash,54,2026-03-01T11:23:31.137102+00:00,2026-03-01T11:23:35.536745+00:00,yes
C01,2026-02-28_exp_1,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_1_all_skill_scores.json,google/gemini-2.5-flash,79,2026-03-01T11:22:25.878996+00:00,2026-03-01T11:22:31.833976+00:00,yes
C01,2026-02-28_exp_2,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_2_all_skill_scores.json,google/gemini-2.5-flash,57,2026-03-01T11:24:19.373002+00:00,2026-03-01T11:24:24.067907+00:00,yes
C01,2026-02-28_exp_3,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_3_all_skill_scores.json,google/gemini-2.5-flash,38,2026-03-01T11:25:27.041749+00:00,2026-03-01T11:25:30.582782+00:00,yes
C01,2026-02-28_exp_4,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_4_all_skill_scores.json,google/gemini-2.5-flash,81,2026-03-01T11:18:57.980052+00:00,2026-03-01T11:19:04.477997+00:00,yes
C02,2026-02-28_exp_5,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_5_all_skill_scores.json,google/gemini-2.5-flash,48,2026-03-01T11:21:39.737506+00:00,2026-03-01T11:21:44.113546+00:00,yes
C02,2026-02-28_exp_6,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_6_all_skill_scores.json,google/gemini-2.5-flash,63,2026-03-01T11:23:26.330840+00:00,2026-03-01T11:23:31.486728+00:00,yes
C02,2026-02-28_exp_7,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_7_all_skill_scores.json,google/gemini-2.5-flash,46,2026-03-01T11:25:03.580947+00:00,2026-03-01T11:25:07.204581+00:00,yes
C02,2026-02-28_exp_8,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_8_all_skill_scores.json,google/gemini-2.5-flash,87,2026-03-01T11:25:57.954430+00:00,2026-03-01T11:26:04.848801+00:00,yes
C02,2026-02-28_exp_9,aadi_expt_logs,aadi_expt_logs__2026-02-28_exp_9_all_skill_scores.json,google/gemini-2.5-flash,54,2026-03-01T11:19:51.377445+00:00,2026-03-01T11:19:55.929315+00:00,yes
C07,2026-02-27_exp_3,llama_crewmate,llama_crewmate__2026-02-27_exp_3_all_skill_scores.json,google/gemini-2.5-flash,34,2026-03-01T11:19:48.546635+00:00,2026-03-01T11:19:52.005667+00:00,yes
C07,2026-02-27_exp_4,llama_crewmate,llama_crewmate__2026-02-27_exp_4_all_skill_scores.json,google/gemini-2.5-flash,194,2026-03-01T11:21:51.830586+00:00,2026-03-01T11:22:05.912276+00:00,yes
C07,2026-03-01_exp_0,llama_crewmate,llama_crewmate__2026-03-01_exp_0_all_skill_scores.json,google/gemini-2.5-flash,215,2026-03-01T11:23:35.146537+00:00,2026-03-01T11:23:53.245281+00:00,yes
C07,2026-03-01_exp_1,llama_crewmate,llama_crewmate__2026-03-01_exp_1_all_skill_scores.json,google/gemini-2.5-flash,50,2026-03-01T11:25:09.949599+00:00,2026-03-01T11:25:14.004974+00:00,yes
C07,2026-03-01_exp_2,llama_crewmate,llama_crewmate__2026-03-01_exp_2_all_skill_scores.json,google/gemini-2.5-flash,116,2026-03-01T11:20:50.862061+00:00,2026-03-01T11:20:59.541407+00:00,yes
C07,2026-03-01_exp_3,llama_crewmate,llama_crewmate__2026-03-01_exp_3_all_skill_scores.json,google/gemini-2.5-flash,85,2026-03-01T11:20:01.546313+00:00,2026-03-01T11:20:07.732085+00:00,yes
C07,2026-03-01_exp_4,llama_crewmate,llama_crewmate__2026-03-01_exp_4_all_skill_scores.json,google/gemini-2.5-flash,61,2026-03-01T11:22:21.160915+00:00,2026-03-01T11:22:25.580946+00:00,yes
C07,2026-03-01_exp_5,llama_crewmate,llama_crewmate__2026-03-01_exp_5_all_skill_scores.json,google/gemini-2.5-flash,176,2026-03-01T11:24:06.921115+00:00,2026-03-01T11:24:19.618477+00:00,yes
C07,2026-03-01_exp_6,llama_crewmate,llama_crewmate__2026-03-01_exp_6_all_skill_scores.json,google/gemini-2.5-flash,41,2026-03-01T11:25:23.663104+00:00,2026-03-01T11:25:28.941170+00:00,yes
C08,2026-03-01_exp_10,llama_impostor,llama_impostor__2026-03-01_exp_10_all_skill_scores.json,google/gemini-2.5-flash,154,2026-03-01T11:18:45.510938+00:00,2026-03-01T11:18:58.659585+00:00,yes
C08,2026-03-01_exp_11,llama_impostor,llama_impostor__2026-03-01_exp_11_all_skill_scores.json,google/gemini-2.5-flash,50,2026-03-01T11:20:59.624284+00:00,2026-03-01T11:21:03.147441+00:00,yes
C08,2026-03-01_exp_12,llama_impostor,llama_impostor__2026-03-01_exp_12_all_skill_scores.json,google/gemini-2.5-flash,53,2026-03-01T11:23:06.663845+00:00,2026-03-01T11:23:10.530041+00:00,yes
C08,2026-03-01_exp_13,llama_impostor,llama_impostor__2026-03-01_exp_13_all_skill_scores.json,google/gemini-2.5-flash,82,2026-03-01T11:24:41.596559+00:00,2026-03-01T11:24:48.336416+00:00,yes
C08,2026-03-01_exp_14,llama_impostor,llama_impostor__2026-03-01_exp_14_all_skill_scores.json,google/gemini-2.5-flash,41,2026-03-01T11:25:40.806565+00:00,2026-03-01T11:25:44.822254+00:00,yes
C08,2026-03-01_exp_15,llama_impostor,llama_impostor__2026-03-01_exp_15_all_skill_scores.json,google/gemini-2.5-flash,51,2026-03-01T11:19:26.175431+00:00,2026-03-01T11:19:31.458842+00:00,yes
C08,2026-03-01_exp_16,llama_impostor,llama_impostor__2026-03-01_exp_16_all_skill_scores.json,google/gemini-2.5-flash,58,2026-03-01T11:21:34.911659+00:00,2026-03-01T11:21:40.069380+00:00,yes
C08,2026-03-01_exp_7,llama_impostor,llama_impostor__2026-03-01_exp_7_all_skill_scores.json,google/gemini-2.5-flash,88,2026-03-01T11:23:19.434158+00:00,2026-03-01T11:23:26.487112+00:00,yes
C08,2026-03-01_exp_8,llama_impostor,llama_impostor__2026-03-01_exp_8_all_skill_scores.json,google/gemini-2.5-flash,33,2026-03-01T11:25:01.333553+00:00,2026-03-01T11:25:04.015251+00:00,yes
C08,2026-03-01_exp_9,llama_impostor,llama_impostor__2026-03-01_exp_9_all_skill_scores.json,google/gemini-2.5-flash,120,2026-03-01T11:19:30.595252+00:00,2026-03-01T11:19:40.099142+00:00,yes
C01,2026-02-26_exp_11,shiven_expt_logs,shiven_expt_logs__2026-02-26_exp_11_all_skill_scores.json,google/gemini-2.5-flash,43,2026-03-01T11:21:43.186322+00:00,2026-03-01T11:21:46.714246+00:00,yes
C01,2026-02-26_exp_12,shiven_expt_logs,shiven_expt_logs__2026-02-26_exp_12_all_skill_scores.json,google/gemini-2.5-flash,46,2026-03-01T11:19:55.493811+00:00,2026-03-01T11:19:59.212930+00:00,yes
C01,2026-02-26_exp_13,shiven_expt_logs,shiven_expt_logs__2026-02-26_exp_13_all_skill_scores.json,google/gemini-2.5-flash,49,2026-03-01T11:22:13.428819+00:00,2026-03-01T11:22:17.409417+00:00,yes
C01,2026-02-26_exp_14,shiven_expt_logs,shiven_expt_logs__2026-02-26_exp_14_all_skill_scores.json,google/gemini-2.5-flash,62,2026-03-01T11:23:56.081397+00:00,2026-03-01T11:24:01.054935+00:00,yes
C01,2026-02-26_exp_15,shiven_expt_logs,shiven_expt_logs__2026-02-26_exp_15_all_skill_scores.json,google/gemini-2.5-flash,76,2026-03-01T11:18:09.079653+00:00,2026-03-01T11:18:14.983300+00:00,yes
C02,2026-02-27_exp_0,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_0_all_skill_scores.json,google/gemini-2.5-flash,43,2026-03-01T11:21:02.960347+00:00,2026-03-01T11:21:06.012018+00:00,yes
C03,2026-02-27_exp_11,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_11_all_skill_scores.json,google/gemini-2.5-flash,113,2026-03-01T11:22:05.382639+00:00,2026-03-01T11:22:14.057104+00:00,yes
C04,2026-02-27_exp_13,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_13_all_skill_scores.json,google/gemini-2.5-flash,33,2026-03-01T11:23:13.129668+00:00,2026-03-01T11:23:15.732006+00:00,yes
C04,2026-02-27_exp_14,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_14_all_skill_scores.json,google/gemini-2.5-flash,61,2026-03-01T11:24:51.617259+00:00,2026-03-01T11:24:59.369379+00:00,yes
C04,2026-02-27_exp_15,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_15_all_skill_scores.json,google/gemini-2.5-flash,86,2026-03-01T11:25:46.577377+00:00,2026-03-01T11:25:57.496001+00:00,yes
C07,2026-02-27_exp_18,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_18_all_skill_scores.json,google/gemini-2.5-flash,50,2026-03-01T11:25:53.491091+00:00,2026-03-01T11:25:58.571257+00:00,yes
C02,2026-02-27_exp_1,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_1_all_skill_scores.json,google/gemini-2.5-flash,41,2026-03-01T11:23:10.066205+00:00,2026-03-01T11:23:13.728925+00:00,yes
C02,2026-02-27_exp_2,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_2_all_skill_scores.json,google/gemini-2.5-flash,54,2026-03-01T11:24:47.847802+00:00,2026-03-01T11:24:52.933702+00:00,yes
C02,2026-02-27_exp_3,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_3_all_skill_scores.json,google/gemini-2.5-flash,32,2026-03-01T11:25:44.284045+00:00,2026-03-01T11:25:47.191109+00:00,yes
C02,2026-02-27_exp_4,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_4_all_skill_scores.json,google/gemini-2.5-flash,63,2026-03-01T11:19:39.526048+00:00,2026-03-01T11:19:44.983339+00:00,yes
C03,2026-02-27_exp_6,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_6_all_skill_scores.json,google/gemini-2.5-flash,51,2026-03-01T11:23:52.033116+00:00,2026-03-01T11:23:56.642733+00:00,yes
C03,2026-02-27_exp_7,shiven_expt_logs,shiven_expt_logs__2026-02-27_exp_7_all_skill_scores.json,google/gemini-2.5-flash,134,2026-03-01T11:25:13.432952+00:00,2026-03-01T11:25:24.091900+00:00,yes
C05,2026-02-28_exp_0,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_0_all_skill_scores.json,google/gemini-2.5-flash,86,2026-03-01T11:24:00.768723+00:00,2026-03-01T11:24:07.201092+00:00,yes
C03,2026-02-28_exp_10,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_10_all_skill_scores.json,google/gemini-2.5-flash,176,2026-03-01T11:18:14.546595+00:00,2026-03-01T11:18:27.298893+00:00,yes
C03,2026-02-28_exp_11,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_11_all_skill_scores.json,google/gemini-2.5-flash,246,2026-03-01T11:20:12.312624+00:00,2026-03-01T11:20:29.398984+00:00,yes
C03,2026-02-28_exp_12,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_12_all_skill_scores.json,google/gemini-2.5-flash,223,2026-03-01T11:22:31.496122+00:00,2026-03-01T11:22:49.174084+00:00,yes
C03,2026-02-28_exp_13,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_13_all_skill_scores.json,google/gemini-2.5-flash,138,2026-03-01T11:24:23.506695+00:00,2026-03-01T11:24:34.337136+00:00,yes
C03,2026-02-28_exp_14,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_14_all_skill_scores.json,google/gemini-2.5-flash,79,2026-03-01T11:25:30.188195+00:00,2026-03-01T11:25:37.472864+00:00,yes
C04,2026-02-28_exp_15,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_15_all_skill_scores.json,google/gemini-2.5-flash,44,2026-03-01T11:25:07.029343+00:00,2026-03-01T11:25:10.485931+00:00,yes
C04,2026-02-28_exp_16,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_16_all_skill_scores.json,google/gemini-2.5-flash,61,2026-03-01T11:26:04.369182+00:00,2026-03-01T11:26:08.891172+00:00,yes
C05,2026-02-28_exp_1,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_1_all_skill_scores.json,google/gemini-2.5-flash,244,2026-03-01T11:18:26.816320+00:00,2026-03-01T11:18:45.933186+00:00,yes
C05,2026-02-28_exp_2,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_2_all_skill_scores.json,google/gemini-2.5-flash,290,2026-03-01T11:20:29.283264+00:00,2026-03-01T11:20:51.441178+00:00,yes
C05,2026-02-28_exp_3,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_3_all_skill_scores.json,google/gemini-2.5-flash,236,2026-03-01T11:22:49.244456+00:00,2026-03-01T11:23:07.060155+00:00,yes
C05,2026-02-28_exp_4,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_4_all_skill_scores.json,google/gemini-2.5-flash,98,2026-03-01T11:24:34.123205+00:00,2026-03-01T11:24:41.904686+00:00,yes
C06,2026-02-28_exp_5,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_5_all_skill_scores.json,google/gemini-2.5-flash,63,2026-03-01T11:25:36.582912+00:00,2026-03-01T11:25:41.598281+00:00,yes
C06,2026-02-28_exp_6,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_6_all_skill_scores.json,google/gemini-2.5-flash,149,2026-03-01T11:19:15.385266+00:00,2026-03-01T11:19:27.053854+00:00,yes
C06,2026-02-28_exp_7,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_7_all_skill_scores.json,google/gemini-2.5-flash,173,2026-03-01T11:21:22.019816+00:00,2026-03-01T11:21:39.062401+00:00,yes
C06,2026-02-28_exp_8,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_8_all_skill_scores.json,google/gemini-2.5-flash,57,2026-03-01T11:23:15.443286+00:00,2026-03-01T11:23:19.811859+00:00,yes
C06,2026-02-28_exp_9,shiven_expt_logs,shiven_expt_logs__2026-02-28_exp_9_all_skill_scores.json,google/gemini-2.5-flash,56,2026-03-01T11:24:56.735707+00:00,2026-03-01T11:25:01.779987+00:00,yes
C03,2026-03-01_exp_0,shiven_expt_logs,shiven_expt_logs__2026-03-01_exp_0_all_skill_scores.json,google/gemini-2.5-flash,163,2026-03-01T11:19:03.973034+00:00,2026-03-01T11:19:15.833219+00:00,yes
C03,2026-03-01_exp_1,shiven_expt_logs,shiven_expt_logs__2026-03-01_exp_1_all_skill_scores.json,google/gemini-2.5-flash,223,2026-03-01T11:21:05.580539+00:00,2026-03-01T11:21:22.918949+00:00,yes
C04,2026-03-01_exp_2,shiven_expt_logs,shiven_expt_logs__2026-03-01_exp_2_all_skill_scores.json,google/gemini-2.5-flash,37,2026-03-01T11:19:58.732016+00:00,2026-03-01T11:20:01.546393+00:00,yes
C04,2026-03-01_exp_3,shiven_expt_logs,shiven_expt_logs__2026-03-01_exp_3_all_skill_scores.json,google/gemini-2.5-flash,56,2026-03-01T11:22:16.902285+00:00,2026-03-01T11:22:21.519719+00:00,yes
